City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,westport,41.1415,-73.3579,3.19,39,52,3.13,US,1708815809
212,flying fish cove,-10.4217,105.6791,24.82,88,75,1.03,CX,1708815760
213,mapastepec,15.4333,-92.9,30.68,50,5,3.23,MX,1708816000
214,alofi,-19.0595,-169.9187,27.94,83,100,3.6,NU,1708816001
215,pangody,65.85,74.4859,-11.36,95,100,6.17,RU,1708816001
216,geraldton,-28.7667,114.6,24.23,83,75,4.63,AU,1708816001
217,hawaiian paradise park,19.5933,-154.9731,22.15,94,100,3.09,US,1708816001
218,inari,68.906,27.0288,1.11,84,100,7.03,FI,1708816002
219,al hasakah,36.5024,40.7477,10.84,57,13,4.38,SY,1708816002
220,yaren,-0.5472,166.916,28.59,73,95,3.48,NR,1708816003
221,chapada dos guimaraes,-15.4606,-55.7497,20.97,89,50,1.57,BR,1708816003
222,chonchi,-42.6128,-73.8092,15.07,65,65,0.38,CL,1708816003
223,port augusta,-32.5,137.7667,25.71,19,4,1.33,AU,1708816003
224,calingasta,-31.3308,-69.4078,24.75,34,52,3.95,AR,1708816004
225,necochea,-38.5473,-58.7368,13.74,65,0,4.85,AR,1708816004
226,pervomayskoye,43.919,46.7102,-0.34,72,7,4.91,RU,1708816004
227,canutama,-6.5339,-64.3831,23.95,98,100,1.91,BR,1708816004
228,san patricio,28.017,-97.5169,25.09,37,77,5.94,US,1708816005
229,kota kinabalu,5.9749,116.0724,23.99,94,20,1.54,MY,1708816005
230,luganville,-15.5333,167.1667,29.52,75,81,2.43,VU,1708816005
231,araguaina,-7.1911,-48.2072,25.92,79,43,1.18,BR,1708816005
232,north platte,41.1239,-100.7654,16.94,23,0,10.73,US,1708816006
233,queenstown,-31.8976,26.8753,19.02,77,33,1.14,ZA,1708815450
234,urzhar,47.093,81.6294,-15.33,91,91,2.21,KZ,1708816006
235,bardai,11.65,7.2333,24.2,28,32,3.55,NG,1708816006
236,ploneour-lanvern,47.9,-4.2833,8.18,87,75,3.6,FR,1708816007
237,ibb,13.9667,44.1833,17.68,58,1,1.15,YE,1708816007
238,kalmunai,7.4167,81.8167,24.61,79,24,1.99,LK,1708816007
239,beya,53.0533,90.9139,-19.63,95,100,1.85,RU,1708816008
240,kenora,49.8167,-94.4337,3.54,65,75,4.63,CA,1708815948
241,ruwa,-17.8972,31.2371,20.62,85,1,2.05,ZW,1708816008
242,nemuro,43.3236,145.575,-4.7,61,43,4.49,JP,1708816008
243,sosnovka,56.255,51.2842,-14.84,92,9,2.45,RU,1708816009
244,ghat,24.9647,10.1728,20.1,13,0,5.79,LY,1708815756
245,castillos,-34.1667,-53.8333,20.62,69,53,4.7,UY,1708816009
246,udachny,66.4167,112.4,-33.02,99,89,1.28,RU,1708816009
247,poso,-1.3959,120.7524,25.37,87,99,2.05,ID,1708816010
248,chamical,-30.36,-66.314,22.54,60,41,4.16,AR,1708816010
249,margaret river,-33.95,115.0667,15.53,69,24,5.14,AU,1708816010
250,lianyuan,27.6883,111.6642,0.43,78,100,0.98,CN,1708816010
251,fort st. john,56.2499,-120.8529,-1.06,51,75,1.03,CA,1708815814
252,la passe,45.5549,-0.8967,7.13,81,100,5.79,FR,1708816011
253,avarua,-21.2078,-159.775,26.03,100,100,3.6,CK,1708816011
254,mingguang,32.7802,117.9638,-6.85,97,24,1.85,CN,1708815924
255,korla,41.7597,86.1469,-2.58,55,100,1.27,CN,1708816012
256,ad dabbah,18.05,30.95,24.66,37,50,6.78,SD,1708816012
257,antsiranana,-12.2787,49.2917,24.84,92,86,3.16,MG,1708816012
258,richmond,37.5538,-77.4603,8.23,91,100,4.12,US,1708815835
259,primorskiy,43.0983,131.5875,-4.75,66,100,2.1,RU,1708816013
260,mugia,43.1041,-9.2179,13.84,91,100,13.08,ES,1708816013
261,olyokminsk,60.3736,120.4264,-24.97,100,100,0.87,RU,1708816013
262,ranau,5.9538,116.6641,20.8,96,64,0.38,MY,1708816013
263,keflavik,64.0049,-22.5624,-2.76,74,0,5.66,IS,1708816014
264,vila velha,-20.3297,-40.2925,26.08,92,1,3.13,BR,1708816014
265,borogontsy,62.6683,131.1683,-40.82,100,70,1.21,RU,1708816014
266,joshimath,30.5667,79.5667,-0.09,53,33,2.62,IN,1708816015
267,san antonio de pale,-1.4014,5.6325,28.05,75,100,4.08,GQ,1708816015
268,la'ie,21.6477,-157.9253,22.66,82,98,4.47,US,1708816016
269,tazacorte,28.629,-17.9293,18.54,77,100,6.69,ES,1708816016
270,la junta,37.985,-103.5438,20.16,8,0,1.54,US,1708816016
271,kulhudhuffushi,6.6221,73.07,27.52,72,33,3.85,MV,1708816016
272,lamu,-2.2717,40.902,26.35,86,100,3.3,KE,1708816017
273,palikir - national government center,6.9248,158.1611,27.47,89,100,4.12,FM,1708816017
274,utrik,11.2278,169.8474,25.84,77,99,8.6,MH,1708816017
275,great falls,47.5002,-111.3008,9.25,47,100,7.72,US,1708815753
276,lusambo,-4.9667,23.45,22.46,93,99,0.58,CD,1708816018
277,soio,-6.1349,12.3689,26.77,83,100,2.5,AO,1708816018
278,costa rica,-23.4167,-54.65,23.96,85,63,1.4,BR,1708816018
279,al jawf,29.5,38.75,10.32,72,22,6.56,SA,1708816019
280,pisco,-13.7,-76.2167,24.45,79,81,2.16,PE,1708816019
281,nova sintra,14.8667,-24.7167,20.38,76,94,7.16,CV,1708816019
282,pointe aux piments,-20.0628,57.5131,26.96,89,64,4.1,MU,1708816020
283,gadzhiyevo,69.2551,33.3362,1.25,83,96,9.32,RU,1708816020
284,emiliano zapata,18.8333,-99.1833,32.34,17,0,2.57,MX,1708816020
285,woolgoolga,-30.1106,153.2007,22.8,88,100,6.44,AU,1708816021
286,tolanaro,-25.0319,46.9987,24.73,75,100,5.52,MG,1708816021
287,kamaishi,39.2667,141.8833,0.34,75,99,0.5,JP,1708816021
288,masterton,-40.9597,175.6575,20.61,53,71,0.89,NZ,1708816021
289,akureyri,65.6835,-18.0878,-12.36,96,99,1.76,IS,1708816022
290,chinde,26.8418,88.0763,9.65,30,95,1.19,NP,1708816022
291,luena,-11.7833,19.9167,18.66,96,100,1.9,AO,1708815862
292,walvis bay,-22.9575,14.5053,17.27,79,77,5.66,NA,1708816023
293,newman,37.3138,-121.0208,22.3,59,70,0.89,US,1708816023
294,grand falls-windsor,48.9332,-55.6649,6.39,91,100,4.02,CA,1708816023
295,taunggyi,20.7833,97.0333,11.06,60,0,0.71,MM,1708815935
296,hamilton,39.1834,-84.5333,2.1,56,0,3.09,US,1708816024
297,fada,9.5667,8.3,25.79,34,100,0.5,NG,1708816024
298,fort mcmurray,56.7268,-111.381,-9.15,76,100,3.26,CA,1708816025
299,bengkulu,-3.8004,102.2655,24.23,90,91,1.95,ID,1708816025
300,ozalp,38.6548,43.993,-10.46,98,79,1.03,TR,1708816025
301,basco,20.4487,121.9702,23.89,80,100,8.87,PH,1708816025
302,shwebo,22.5667,95.7,19.42,47,5,2.6,MM,1708816026
303,kerikeri,-35.2268,173.9474,24.95,86,100,3.49,NZ,1708816026
304,siwa oasis,29.2041,25.5195,16.38,51,0,3.43,EG,1708816026
305,san juan del sur,11.2529,-85.8705,30.07,44,92,5.94,NI,1708816027
306,holualoa,19.6228,-155.9522,23.64,74,100,0.45,US,1708816027
307,hanceville,34.0607,-86.7675,13.95,57,6,4.63,US,1708816027
308,novodvinsk,64.4165,40.8122,1.86,92,100,4.53,RU,1708816027
309,shingu,33.7333,135.9833,11.44,93,100,7.96,JP,1708816028
310,dzuunharaa,48.8523,106.4579,-26.23,98,42,1.61,MN,1708816028
311,port-cartier,50.0334,-66.8654,-14.03,74,45,5.55,CA,1708816029
312,teramo,42.65,13.6833,9.45,85,100,2.31,IT,1708816029
313,pandan,14.0453,124.1694,25.69,80,72,7.81,PH,1708816029
314,la mana,-0.9333,-79.2167,24.99,87,100,0.81,EC,1708816030
315,al bawiti,28.3492,28.8659,14.11,55,0,3.7,EG,1708816030
316,kamina,-8.7386,24.9906,19.16,95,100,0.32,CD,1708816030
317,onguday,50.75,86.15,-15.62,98,100,1.42,RU,1708816031
318,qaqortoq,60.7167,-46.0333,-1.79,95,100,6.03,GL,1708816031
319,taroudant,30.4703,-8.877,14.49,48,1,1.76,MA,1708816031
320,conception bay south,47.4999,-52.9981,5.86,95,46,10.19,CA,1708816032
321,salinopolis,-0.6136,-47.3561,26.45,88,44,3.71,BR,1708816032
322,aldinga beach,-35.2793,138.4604,25.11,37,64,1.77,AU,1708816032
323,winnemucca,40.973,-117.7357,14.03,35,0,0.0,US,1708816033
324,ambovombe,-25.1667,46.0833,22.96,84,96,6.57,MG,1708816033
325,grinnell,41.743,-92.7224,8.88,43,0,6.69,US,1708816033
326,bomdila,27.25,92.4,-0.34,51,1,2.74,IN,1708816034
327,verdal,63.7933,11.4817,4.02,79,54,2.0,NO,1708815973
328,iskateley,67.6803,53.1512,-1.1,94,100,7.6,RU,1708816034
329,wuhai,39.6647,106.8122,-10.68,82,5,1.54,CN,1708816034
330,severo-yeniseyskiy,60.3725,93.0408,-32.46,100,68,1.34,RU,1708816035
331,yerofey pavlovich,53.9667,121.9667,-16.7,98,100,0.54,RU,1708816035
332,port macquarie,-31.4333,152.9167,22.16,84,100,4.27,AU,1708816035
333,horta,38.5333,-28.6333,16.68,93,89,6.71,PT,1708816036
334,kristiansund,63.1115,7.732,5.36,60,20,4.12,NO,1708816036
335,awjilah,29.1081,21.2869,17.14,32,0,6.54,LY,1708816036
336,kidal,18.4411,1.4078,24.58,11,17,3.83,ML,1708816036
337,santo antonio,-6.3106,-35.4789,26.66,77,18,6.19,BR,1708816037
338,qusmuryn,52.4503,64.6311,-21.81,97,13,2.68,KZ,1708816037
339,keetmanshoop,-26.5833,18.1333,20.37,31,23,6.4,NA,1708816037
340,afaahiti,-17.75,-149.2833,27.93,73,59,1.67,PF,1708816038
341,inzhavino,52.3185,42.4937,-11.6,88,12,4.52,RU,1708816038
342,sandnessjoen,66.0217,12.6316,3.29,90,100,11.73,NO,1708816038
343,taltal,-25.4,-70.4833,21.46,78,76,2.76,CL,1708815744
344,gunjur,13.2019,-16.7339,23.04,68,57,3.09,GM,1708816039
345,ola,59.5833,151.2833,-23.81,84,24,3.07,RU,1708815935
346,arraial do cabo,-22.9661,-42.0278,25.42,90,43,6.36,BR,1708816039
347,west livingston,30.6983,-95.0019,26.03,36,0,2.68,US,1708816039
348,pahrump,36.2083,-115.9839,19.35,26,100,0.89,US,1708816040
349,gebeit,21.0667,36.3167,19.21,52,7,2.0,SD,1708816040
350,uturoa,-16.7333,-151.4333,28.54,73,47,3.09,PF,1708816040
351,dankov,53.2515,39.1555,-4.53,89,88,7.1,RU,1708816041
352,yarmouth,41.7057,-70.2286,1.68,54,0,8.49,US,1708815805
353,mount gambier,-37.8333,140.7667,19.46,48,78,2.3,AU,1708816041
